transaction_id,sender_id,receiver_id,amount,timestamp
T00001,ACC_A1,ACC_A2,1024.71,2024-01-01 09:00:00
T00002,ACC_A2,ACC_A3,1136.6,2024-01-01 10:00:00
T00003,ACC_A3,ACC_A1,1222.54,2024-01-01 11:00:00
T00004,ACC_B1,ACC_B2,1672.65,2024-01-01 09:00:00
T00005,ACC_B2,ACC_B3,1348.06,2024-01-01 10:00:00
T00006,ACC_B3,ACC_B4,1768.41,2024-01-01 11:00:00
T00007,ACC_B4,ACC_B1,1683.54,2024-01-01 12:00:00
T00008,ACC_C1,ACC_C2,1348.98,2024-01-01 09:00:00
T00009,ACC_C2,ACC_C3,1118.03,2024-01-01 10:00:00
T00010,ACC_C3,ACC_C4,1006.07,2024-01-01 11:00:00
T00011,ACC_C4,ACC_C5,1117.7,2024-01-01 12:00:00
T00012,ACC_C5,ACC_C1,1800.33,2024-01-01 13:00:00
T00013,ACC_SMI_0,ACC_SMURF_IN,104.95,2024-01-02 11:00:00
T00014,ACC_SMI_1,ACC_SMURF_IN,129.32,2024-01-01 20:00:00
T00015,ACC_SMI_2,ACC_SMURF_IN,106.06,2024-01-03 01:00:00
T00016,ACC_SMI_3,ACC_SMURF_IN,148.55,2024-01-03 04:00:00
T00017,ACC_SMI_4,ACC_SMURF_IN,130.77,2024-01-02 02:00:00
T00018,ACC_SMI_5,ACC_SMURF_IN,80.02,2024-01-01 21:00:00
T00019,ACC_SMI_6,ACC_SMURF_IN,90.75,2024-01-02 08:00:00
T00020,ACC_SMI_7,ACC_SMURF_IN,52.68,2024-01-01 12:00:00
T00021,ACC_SMI_8,ACC_SMURF_IN,138.06,2024-01-02 20:00:00
T00022,ACC_SMI_9,ACC_SMURF_IN,133.72,2024-01-03 02:00:00
T00023,ACC_SMI_10,ACC_SMURF_IN,77.52,2024-01-02 13:00:00
T00024,ACC_SMI_11,ACC_SMURF_IN,81.55,2024-01-03 06:00:00
T00025,ACC_SMURF_OUT,ACC_SMO_0,131.01,2024-01-01 21:00:00
T00026,ACC_SMURF_OUT,ACC_SMO_1,147.15,2024-01-02 10:00:00
T00027,ACC_SMURF_OUT,ACC_SMO_2,113.21,2024-01-03 09:00:00
T00028,ACC_SMURF_OUT,ACC_SMO_3,117.27,2024-01-02 07:00:00
T00029,ACC_SMURF_OUT,ACC_SMO_4,128.38,2024-01-02 17:00:00
T00030,ACC_SMURF_OUT,ACC_SMO_5,56.03,2024-01-01 21:00:00
T00031,ACC_SMURF_OUT,ACC_SMO_6,120.1,2024-01-03 07:00:00
T00032,ACC_SMURF_OUT,ACC_SMO_7,83.32,2024-01-01 23:00:00
T00033,ACC_SMURF_OUT,ACC_SMO_8,146.42,2024-01-01 13:00:00
T00034,ACC_SMURF_OUT,ACC_SMO_9,55.75,2024-01-01 22:00:00
T00035,ACC_SMURF_OUT,ACC_SMO_10,52.82,2024-01-02 14:00:00
T00036,ACC_SMURF_OUT,ACC_SMO_11,138.3,2024-01-01 10:00:00
T00037,ACC_START,ACC_SH1,558.71,2024-01-03 09:00:00
T00038,ACC_SH1,ACC_SH2,787.64,2024-01-03 10:00:00
T00039,ACC_SH2,ACC_SH3,743.95,2024-01-03 11:00:00
T00040,ACC_SH3,ACC_END,645.87,2024-01-03 12:00:00
T00041,ACC_N5,ACC_N20,2590.88,2024-01-04 16:00:00
T00042,ACC_N20,ACC_N16,4101.89,2024-01-06 09:00:00
T00043,ACC_N27,ACC_N13,1291.86,2024-01-12 00:00:00
T00044,ACC_N4,ACC_N25,1883.03,2024-01-07 10:00:00
T00045,ACC_N8,ACC_N25,4190.12,2024-01-11 00:00:00
T00046,ACC_N32,ACC_N20,2067.24,2024-01-03 14:00:00
T00047,ACC_N29,ACC_N26,2923.17,2024-01-11 06:00:00
T00048,ACC_N38,ACC_N6,1971.15,2024-01-06 08:00:00
T00049,ACC_N30,ACC_N24,3875.11,2024-01-09 02:00:00
T00050,ACC_N16,ACC_N30,3565.28,2024-01-09 11:00:00
T00051,ACC_N25,ACC_N11,4608.93,2024-01-10 21:00:00
T00052,ACC_N12,ACC_N29,3794.73,2024-01-10 04:00:00
T00053,ACC_N28,ACC_N26,670.61,2024-01-01 09:00:00
T00054,ACC_N27,ACC_N25,953.46,2024-01-04 02:00:00
T00055,ACC_N18,ACC_N38,670.85,2024-01-08 06:00:00
T00056,ACC_N34,ACC_N18,1944.51,2024-01-04 15:00:00
T00057,ACC_N26,ACC_N27,2962.11,2024-01-08 17:00:00
T00058,ACC_N24,ACC_N13,1981.67,2024-01-09 09:00:00
T00059,ACC_N13,ACC_N14,2200.04,2024-01-09 04:00:00
T00060,ACC_N24,ACC_N25,3757.48,2024-01-08 12:00:00
T00061,ACC_N32,ACC_N0,246.29,2024-01-05 19:00:00
T00062,ACC_N0,ACC_N10,1394.56,2024-01-02 02:00:00
T00063,ACC_N18,ACC_N25,274.8,2024-01-07 23:00:00
T00064,ACC_N1,ACC_N32,2160.48,2024-01-06 22:00:00
